PI Name,Num Publications,PubMed Publication,PubMed Publication (keywords >= 5),PubMed Main Author Publications,Num Keywords,Main Branch Keywords,Main Author Keywords,Main Author Main Branch Keywords
Penny Sneddon,2,2,1,0,12,10,0,0
Jocelyn Srigley,4,4,4,3,27,27,21,21
Paul Steinbok,23,22,15,17,224,192,184,156
Ted Steiner,13,12,10,6,142,130,72,65
S. Evelyn Stewart,23,23,22,11,263,226,124,102
Caron Strahlendorf,8,8,7,3,111,93,34,29
Anne R Synnes,53,53,41,15,640,553,198,168
Mandeep Tamber,23,22,20,6,253,222,52,46
Sandy Tatla,3,3,3,3,38,32,38,32
Stefan Taubert,9,8,8,7,116,111,96,92
Jefferson Terry,10,9,7,5,89,80,37,33
Allen Thornton,17,17,17,6,240,198,82,65
Glen F. Tibbits,14,14,13,12,182,176,153,148
Christine Tipper,3,2,2,1,25,18,10,9
Lori B. Tucker,22,21,17,9,227,194,113,96
Stuart Turvey,107,96,82,39,1079,928,340,299
Hilary D Vallance,13,12,8,6,108,97,33,29
Tamara Vanderwal,12,9,6,6,87,75,35,29
Suzanne Vercauteren,13,13,11,6,129,108,55,45
Bruce Verchere,17,17,16,15,217,209,178,172
Cynthia Verchere,5,5,2,3,22,17,22,17
Dzung X. Vo,4,2,1,1,9,7,0,0
Li Wang,4,4,4,1,44,37,12,10
Wyeth Wasserman,53,50,41,24,539,506,224,216
Eric Webber,2,2,2,2,19,14,19,14
Simon Whyte,3,3,2,3,29,26,29,26
Tiffany Wong,5,5,2,2,18,16,0,0
Jonathan Wong,2,2,1,2,16,13,16,13
Todd Woodward,23,21,18,16,226,199,145,131
Connie Yang,13,11,8,7,130,119,85,79
Paul Yong,29,24,21,19,279,250,204,184
Jill Zwicker,17,12,12,8,136,117,88,75
Peter van den Elzen,3,3,3,1,36,36,16,16
Peter von Dadelszen,96,86,71,35,1062,912,439,378
Kourosh Afshar,14,13,4,12,58,49,54,45
Susan Albersheim,7,6,5,4,68,63,39,36
Collin Barker,2,1,1,0,20,17,0,0
Mohamed Ali Bedaiwy,31,30,27,22,365,330,267,240
Geoffrey Blair,4,3,2,0,28,23,0,0
David A Cabral,15,14,10,3,166,140,64,56
Andrew I.M. Campbell,3,2,2,2,18,15,18,15
Karen Campbell,3,2,2,2,17,14,17,14
Linda Casey,5,4,2,0,28,28,0,0
Tammie Dewan,3,2,2,0,35,31,0,0
Alison Elliott,11,10,8,5,103,92,31,27
Vit Gunka,6,5,4,3,42,38,35,32
Manraj Kanwal Singh Heran,26,25,22,16,266,236,149,135
William Honer,60,59,52,44,706,603,486,416
Tara Jukes,2,1,1,1,10,9,10,9
Anne Junker,7,6,6,2,65,54,19,15
Clara van Karnebeek,63,62,50,36,690,630,441,405
Jennifer Kendrick,2,1,0,1,0,0,0,0
Suzanne Lewis,4,3,2,2,32,31,32,31
Sai Ma,5,4,4,4,64,58,64,58
Stuart M MacLeod,12,11,7,8,102,87,69,59
Andrew Eaton MacNeily,18,17,4,12,43,31,29,25
Paula Mahon,2,1,1,1,12,10,12,10
John S.T. Masterson,2,1,0,1,0,0,0,0
Theresa McElroy,2,1,1,1,13,10,13,10
